Salutation,First Name,Last Name,Title,Organization,To Double Check
,Samia,Farouki,Founder & President,Hii-Finance Corporation,
,David,Welch,Former CEO,Bechtel Corporation,Inferred Title
,Nadereh,Chamlou,"Former Sr Advisor, The World Bank",Self,
Amb.,David,Hale,,,
,John,Kincannon,Public Affairs Officer,U.S. Dept of State - Bureau of Intelligence and Research (INR),
,Michael,Hindi,Program Officer,U.S. Department of State,
,F. Gregory,Gause,Scholar,Middle East Institute (MEI),Inferred Title
,Ronald,Neumann,President,American Academy of Diplomacy,
,Rafic,Bizri,President,"Hariri Interests, Inc",
Mr.,Abdul,Barakzai,,Sierra Nevada Corporation,
,Dana,Daoud,"Director, Jordan Information Bureau",Embassy of Jordan,
,Helene,Opsal,First secretary,Embassy of Norway - Royal,
,Natan,Sachs,"Director, Senior Fellow",Middle East Institute (MEI),
,Marcus,Hallinan,"Deputy Chair, NEA Area Studies",DOS,
,Ken,Pollack,VP for Policy,Middle East Institute (MEI),
,Susan,Saxton,Chief Operating Officer,Middle East Institute (MEI),
,Alex,Vatanka,US Security Editor,Middle East Institute (MEI),
,Courtney,Lobel,CDO,Middle East Institute (MEI),
,Toni,Verstandig,"Special Advisor, Middle Fast Strategy Group",Verstandig Family Foundation,
,Pierre,Ghanem,Senior Correspondent,Al Arabiya,
,Nicola,Hawatmeh,,,
,Patricia,Karam,Director of Policy,American Task Force on Lebanon,Inferred Title
,Abe,Ahmad,Professor,Georgetown University,Inferred Title
,Diana,Al Hadid,DCM,Embassy of Jordan,
,John,Bainbridge,Regional Security Advisor,IMF,
,Lee Ann,Bael,Director,National Democratic Institute,Inferred Title
,Leila,Vazquez,Desk Officer,U.S. Dept of State - Bureau of Intelligence and Research (INR),
,Ehab,Elsonbaty,Partner,DLA Piper LLP,Inferred Title
,Mohamed,Mosleh,Consulor,Embassy of Egypt,
,Rana,Abtar,Anchor/Chief Correspondent,,
,Stu,Jones,,,
,Roy,Awabdeh,Senior Counsel,Senate Foreign Relations Committee,
,Negar,Mortazavi,Senior Fellow,Center for International Policy,
,Joumana,Asso,,,
,Carol,Zouein,Member of Parliament,Lebanese Parliament,Inferred Title
,Firas,Maksad,"Managing Director, Middle East & North Africa Research",Eurasia Group,
,Lucy,Kurtzer-Ellenbogen,Senior Fellow,,
,Mireille,Rebeiz,,,
,Thomas,Rosenberger,,,
,Rachel,Gemayel,,,
,Rick,Somarriba,,,
,LEON,SHAHABIAN,,,
,Bill,Cortese,,,
,Zahi,Abi Younes,,,
,Jim,Murphy,,U.S. Department of State,
,Marwan,Abdallah,,,
,46,,,,
,46,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
